address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,lowest_blockHeight,highest_blockHeight,eligible
bc1q6qp8aey369gdlwgsxprx6fakers0jl5e3xl55y,0,0,0,0,0,1063479.0,0,0,821416,821416,No
bc1qa8ha7606z2ltncq4z4gmpx4g5k8ez4gdkc8k9p,0,0,0,0,0,1057970.8435,0,300000.0,824332,835237,No
bc1qcpaccyu3tk8tcq29xsu92z3k37w09jvkapjegr,0,0,0,0,0,1050000.0,0,0,816143,816143,No
bc1q7q5vptt5pyj22ce3uqnlgynaq6vnltfta95f0c,0,0,0,0,0,1050000.0,0,0,800381,800381,No
1HFYDLSKBoR8Dc3FnoAouaBzsctwgvPzJE,0,0,0,0,0,1050000.0,0,0,820212,820212,Yes
bc1q9euah8cg9y0aqkt6arqh3qw4gqcuyfsavfly98,0,0,0,0,0,1040200.0,0,0,822097,822097,No
bc1q4cnpftj70f82upjj5f06rkpse0r8685dvs8nff,0,0,0,0,0,1040000.0,0,0,835028,835028,No
bc1q35y05xr3lmck2scledydd4yqqr4n38zznd0tp2,0,0,0,0,0,1038000.0,0,0,822522,822522,No
bc1q60fzz4pqc3w8nfd006tmmadhvndnv88c5668kt,0,0,1009800.0,0,0,1031000.0,0,1150000.0,821578,824125,No
bc1qtd952ugjuxa4nshunhn9usq0tecun3rrzdf6qd,0,0,0,0,0,1025890.0,0,0,833216,833216,No
bc1qz4pgmwtwta32garhh0teg4rp7l3qyjgsxukckm,0,0,0,0,0,1024000.0,0,0,821508,821508,No
1C9cFqhcgawK3SjKo6gaWnyUYWRmUcyFaY,0,0,920000.0,0,0,1015000.0,0,0,820427,832781,Yes
bc1qeanm29qpy4zu7um9vqpqp5ac787fhdyl2rd4dp,0,0,0,0,100000.0,1011111.0,0,0,796194,834538,No
bc1qyqfh5cd42k8uxrly7n86sg7fz495hpjdwjf3vf,0,0,0,0,0,1001111.0,0,1500000.0,833818,834649,No
bc1q63vzjdga3nza9kpt3e4g3x4zjngu2hv7sexs4z,0,0,0,0,392000.0,1000660.0,0,0,831637,834705,No
bc1qysj5cvvceasyw5rer8vahddva4lzw9pfl28uym,0,0,2439244.0,0,0,1000250.0,270000.0,3251669.0,829629,830180,No
bc1qvs5kkcgzav4g7xly33l8n8rq7sls375l56arf9,1260000.0,0,5500000.0,50000.0,2500000.0,1000000.0,0,0,789352,834510,No
bc1qvzs3uehdnju8mn8r3v0q3nyga998ylpmtszfgn,0,0,400000.0,0,0,1000000.0,0,0,834351,835238,No
bc1quc8w7xhcrjqtrhpaxmt906ufnfjnqn4rjt7rp3,0,0,0,0,0,1000000.0,0,0,834148,834148,No
bc1qy2v48dqf6xe64qwp0s06jccaxw2fgcj848x6n6,0,0,0,0,0,1000000.0,0,500000.0,821690,826663,No
bc1qct08kug36p4vsz4q7php43r54k24t0zjry2lqt,0,0,0,0,0,1000000.0,0,0,820546,820546,No
bc1q46yfg056wf04t5pdkvhjwdn4k6ejwnk79ufa6t,0,0,0,0,0,1000000.0,0,0,817306,817306,No
bc1q73s3z5lmgt2p82s4grkaq68vqqy8ryurpzy5ah,0,0,0,0,0,1000000.0,0,0,789782,789782,No
bc1qdedzqe3j2dzx6wmfgylc9c7fcse0myq7ekag6h,0,0,0,0,0,1000000.0,0,595555.0,834625,835332,No
bc1q5hwyfts6r6sn3qxpy5gzpy6x6jt73udf54n6gc,0,0,400000.0,0,0,1000000.0,0,0,834351,835238,No
bc1qdwyjttk9hfnl2u4w9eng3x57ejqqn7avac6ezc,0,0,0,0,0,1000000.0,0,0,789616,789616,No
bc1q4nft82pnjl5u8swefeuwe8qx6srkcksz204f22,0,0,400000.0,0,0,1000000.0,0,0,834351,835238,No
bc1qmem7ar86gfmel8hw93cj7v9mq3c3jdxw7svewh,0,0,0,0,0,1000000.0,0,0,789785,789785,No
bc1qp68zglg4ld9ewtgjxqtn45npz05328npsyn9h3,0,0,0,0,0,1000000.0,0,0,831500,831500,No
bc1qlc3snxy55w24mecmffufyajavad398n7uetnur,0,0,800000.0,0,0,1000000.0,0,0,834793,835238,No
bc1qkuehl7hx6qqmcesfapk38t0sqnwraeku3g3d2u,0,0,47555.0,0,0,1000000.0,0,0,828910,828921,No
bc1qkt288tduq3pklncl83hpmaewr4p8ej8q6r3cg4,50000.0,0,0,25000.0,0,1000000.0,1000000.0,500000.0,792230,834782,No
bc1qju6pghs4v8s8xvtyfk5yyymfcn4tdca9gmxlw0,0,0,0,0,0,1000000.0,0,0,789530,789530,No
bc1qq068ethv58gkft45ymu8s0sjdw2wt8vewnjkvq,0,0,0,0,0,1000000.0,0,0,790236,790236,No
bc1qhhz6tkjjk8ns0twgvvygsxncfttfa72upcs8n0,0,0,0,0,0,1000000.0,0,0,816997,816997,No
bc1qnsxd3x85ag7kvxkp7efskfpxgfejylcugv3rsl,0,0,0,0,0,1000000.0,0,6230000.0,821748,822737,No
bc1qpzfktkhryfk4at4u322l5620ste6w0tuwpkwpw,0,0,400000.0,0,0,1000000.0,0,0,834351,835238,No
bc1qj2uvzrxt5wzds5rhsp4a4w8exzzhpxg20t00rf,0,0,0,0,0,1000000.0,0,0,835179,835179,No
bc1p9dmjy5d0q3sm7gwzywaq056znvggwgvytecjj0akgwjm85k0xvpq7udh02,0,0,0,0,0,1000000.0,0,0,834979,834979,No
bc1q2hhrynt484zdgas4kpv6eca8srre4v0p5x29r4,0,0,0,0,0,1000000.0,0,0,833865,833865,No
1HDeVYea6EKSpPz5TN3Vm3t8xPwepEDHea,0,0,10500000.0,0,0,1000000.0,0,0,789314,789785,Yes
bc1q3090q2k7x84d64g2y0f7ntzlg2r7s7n3ph5xc2,0,0,0,0,0,1000000.0,0,0,834814,834814,No
bc1qny9ttauntyy6vp0maws0ew7qr95r75fpml40qv,0,0,0,0,0,999000.0,0,2300000.0,800809,821768,No
bc1quur2azrjmglrxgj8d8xynfex6je2xsl4prednh,0,0,0,0,0,988300.0,0,0,821937,821937,No
bc1pxv40kkg68c3tma6f8xfv984wg6xqu0a04s3pc86dasgddz7389askyjsrl,0,0,0,0,0,985000.0,190000.0,0,825042,825050,No
bc1q43y44eepu2m4c94mttxs096fea6fv43d4akj0t,410000.0,0,2510420.0,285000.0,600000.0,981111.0,90000.0,0,792621,835265,No
bc1qctmrg9krtgqg33hvy446xdf8fyuqccxwmsjmrf,0,0,0,0,0,959000.0,0,0,831695,831695,No
bc1qjf7yd3m72fqg22djj0wpfphgyfc48x779vz2wz,150000.0,0,2030000.0,375000.0,0,950000.0,619000.0,500000.0,792178,834924,No
bc1qxn5dyza6utyzqkjlm2ggs72zc3zectn7lqs6pz,0,0,50000.0,0,0,950000.0,0,0,830581,833446,No
bc1qhpkusvlhvxkzq5p42yv2vp04hqkp0m5dqparde,0,0,0,0,0,909988.0,0,0,820546,820546,No
bc1qsqlljyrkd25c3xajn3f7qqvzklmj47rrh8fk9p,0,0,0,0,0,906000.0,0,0,832551,832551,No
bc1qx3520js7nsk9my8vwtasrzgd4f96zqnwexgamw,0,0,0,0,0,900000.0,0,0,790250,790250,No
bc1qxvpvvuk8pkk8z5xm7qpm7au8mkayj25sa0k4mz,0,0,169000.0,0,0,900000.0,0,1000000.0,819959,821788,No
bc1qxmh44dhq6gprnawed78lm56cwqk2uqs0lhplq7,0,0,60000.0,25000.0,500000.0,900000.0,0,800000.0,791244,834652,No
