address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,stamp_count_andy_gone_pepe,stamp_count_bos_nft,stamp_count_fridapepe_by_lu,stamp_count_frogtheculture,stamp_count_garbagepailstamps,stamp_count_hnftpepe,stamp_count_immortalpepes,stamp_count_k_everywhere-fineartpepe-pepelost_inart,stamp_count_memes_by_lu,stamp_count_stampshroomz,stamp_count_thiccc,stamp_count_vandalmigos,stamp_count_vivalastamps_nft,stamp_count__total,stamp_count_unique,SPAD_Bonus
bc1q39expkrnsyal7hzp5w0xmk8sgm459rmh5ezmh8,0.0,0.0,1000000.0,0.0,0.0,2000000.0,0.0,7343460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qps92vwurggjz6c9u29mqpa6st8nrechylv88gs,0.0,0.0,0.0,0.0,0.0,1980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qnd8kcfvq3plqyfhuvt0x9487lru9hrd6xplfpw,0.0,0.0,0.0,0.0,0.0,1972000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qr0yktfk3zjynx6l6wc694y68t9scx5pq5metgg,0.0,0.0,0.0,0.0,0.0,1959133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q0fk05gn5c9zv9nnjqgckp04c0pxgwun9teea4v,0.0,0.0,0.0,5000.0,0.0,1950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qwsyjd0ux7g6gdlume3gh5apllyp2y6yamqdh60,0.0,0.0,100000.0,0.0,50000.0,1900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
bc1qgeran6ygwy3hzufhgr0cv4cuajjuvxnxuftjg9,0.0,0.0,100000.0,100000.0,0.0,1890003.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qfszt27er4sc2hsflndwxxa7280z7l05t8t6ras,0.0,0.0,0.0,0.0,0.0,1880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q2yppazjs67w5x4ujyp2g26rvdmp5yfek578q00,0.0,0.0,13860000.0,0.0,0.0,1800000.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,false
bc1q4hemejyxr7e24h8xtspuv9wrcw4nhgnq795lrt,0.0,0.0,0.0,0.0,0.0,1795000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qxvtams3gj5ye8d2ju07dy7cnuzf8zjaz85y2n6,0.0,0.0,0.0,0.0,0.0,1764811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qt5jaq320eza85hsa7m637xapa8sq3vr7p5meu3,0.0,0.0,0.0,0.0,0.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qd8tnsy6mq4krtyu32f7qtxyuumpda9gyaylwaw,20000.0,0.0,0.0,50000.0,50000.0,1700000.0,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
bc1qhl4t797q6wxpqh30ta7k5vlktqc65q6trgujng,0.0,0.0,0.0,0.0,0.0,1700000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,false
bc1qxxdjxd8gmkygukdf0d62qzhgu7vk2l53rypszx,0.0,0.0,0.0,0.0,0.0,1660333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qcvse88u4rgwzptcuvn7t9uv7f44n8ljp7zuu22,0.0,0.0,50000.0,50000.0,0.0,1660000.0,238000.0,500000.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,false
